 ,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
item1,0.9999999999999999,0.002009772633689969,0.006291470060159661,0.002165286610358654,0.028982838948473793,0.016125343140773796,0.09933200030403487,0.0037958462957245974,0.0,0.0
item2,0.002009772633689969,0.9999999999999998,0.013919131044102298,0.0016472265823084802,0.02215749671925298,0.003146931999402109,0.0,0.0,0.0034616179961226958,0.008623789380297404
item3,0.006291470060159661,0.013919131044102298,0.9999999999999998,0.041727414991378234,0.022574457671771367,0.015507986644938356,0.04994444120249494,0.018614185180757227,0.0,0.0037953837427076023
item4,0.002165286610358654,0.0016472265823084802,0.041727414991378234,0.9999999999999999,0.01824255376311709,0.022305625913840603,0.01775195932446874,0.11403173755371535,0.0,0.008749953145113336
item5,0.028982838948473793,0.02215749671925298,0.022574457671771367,0.01824255376311709,0.9999999999999999,0.048944750331257336,0.04524159875435755,0.026525864854343675,0.0,0.07135349934685922
item6,0.016125343140773796,0.003146931999402109,0.015507986644938356,0.022305625913840603,0.048944750331257336,1.0000000000000002,0.007580719409738125,0.04173442212628392,0.01784041083837432,0.008653750645325448
item7,0.09933200030403487,0.0,0.04994444120249494,0.01775195932446874,0.04524159875435755,0.007580719409738125,1.0000000000000004,0.031142367609410176,0.0,0.005086303680791638
item8,0.0037958462957245974,0.0,0.018614185180757227,0.11403173755371535,0.026525864854343675,0.04173442212628392,0.031142367609410176,1.0000000000000002,0.0,0.0024094090148226374
item9,0.0,0.0034616179961226958,0.0,0.0,0.0,0.01784041083837432,0.0,0.0,0.9999999999999998,0.0
item10,0.0,0.008623789380297404,0.0037953837427076023,0.008749953145113336,0.07135349934685922,0.008653750645325448,0.005086303680791638,0.0024094090148226374,0.0,0.9999999999999999
